year,active_killers
1871,1
1872,1
1873,1
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,1
1881,1
1882,1
1883,1
1884,2
1885,3
1886,3
1887,3
1888,4
1889,4
1890,4
1891,4
1892,4
1893,4
1894,4
1895,4
1896,4
1897,5
1898,5
1899,5
1900,7
1901,8
1902,8
1903,7
1904,5
1905,6
1906,6
1907,8
1908,10
1909,8
1910,9
1911,11
1912,15
1913,16
1914,17
1915,20
1916,19
1917,19
1918,21
1919,21
1920,22
1921,18
1922,15
1923,16
1924,18
1925,15
1926,16
1927,17
1928,17
1929,15
1930,16
1931,17
1932,18
1933,19
1934,20
1935,19
1936,16
1937,16
1938,15
1939,14
1940,15
1941,13
1942,13
1943,12
1944,13
1945,14
1946,19
1947,18
1948,19
1949,20
1950,20
1951,22
1952,16
1953,16
1954,19
1955,21
1956,20
1957,22
1958,22
1959,20
1960,22
1961,24
1962,29
1963,31
1964,36
1965,38
1966,38
1967,44
1968,47
1969,52
1970,55
1971,66
1972,64
1973,65
1974,75
1975,81
1976,80
1977,91
1978,102
1979,101
1980,111
1981,115
1982,119
1983,117
1984,116
1985,122
1986,137
1987,132
1988,127
1989,134
1990,133
1991,138
1992,142
1993,137
1994,140
1995,142
1996,139
1997,133
1998,135
1999,121
2000,112
2001,106
2002,108
2003,109
2004,96
2005,93
2006,91
2007,78
2008,73
2009,69
2010,66
2011,59
2012,57
2013,44
2014,38
2015,32
2016,23
2017,17
2018,14
2019,9
2020,10
2021,8
2022,5
2023,4
2024,3
2025,3
2026,2
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
